page_title,subsection_title,text_count,table_count,image_count,table_ids,has_indicator_table,has_source_sql_table,has_validation_section
7.营业收入-国际化会员,7.5 FineDataLink数仓,9,4,0,40;41;42;43,false,false,false
7.营业收入-国际化会员,7.6 数据验证结论,0,0,2,,false,false,true
8.净利润,8.1指标清单,0,1,0,44,true,false,false
8.净利润,8.2指标口径/计算规则,6,0,3,,false,false,false
8.净利润,8.3数据溯源,8,1,0,45,false,true,false
8.净利润,8.4来源环境对比数据,1,0,13,,false,false,false
8.净利润,8.5 FineDataLink数仓,68,6,0,46;47;48;49;50;51,false,false,false
8.净利润,8.6 数据验证结论,8,0,8,,false,false,true
9.M-ROE,9.1指标清单,0,1,0,52,true,false,false
9.M-ROE,9.2指标口径/计算规则,4,0,0,,false,false,false
9.M-ROE,9.3数据溯源,3,1,0,53,false,true,false
9.M-ROE,9.4来源环境对比数据,1,0,0,,false,false,false
9.M-ROE,9.5 FineDataLink数仓,77,2,0,54;55,false,false,false
9.M-ROE,9.6 数据验证结论,1,0,2,,false,false,true
10.负反馈率,10.1指标清单,0,1,0,56,true,false,false
10.负反馈率,10.2指标口径/计算规则,3,0,0,,false,false,false
10.负反馈率,10.3数据溯源,7,1,0,57,false,true,false
10.负反馈率,10.4来源环境对比数据,3,0,3,,false,false,false
10.负反馈率,10.5 FineDataLink数仓,9,4,0,58;59;60;61,false,false,false
10.负反馈率,10.6 数据验证结论,3,0,3,,false,false,true
11.CLV,11.1指标清单,0,1,0,62,true,false,false
11.CLV,11.2指标口径/计算规则,3,0,0,,false,false,false
11.CLV,11.3数据溯源,5,1,0,63,false,true,false
11.CLV,11.4来源环境对比数据,0,0,1,,false,false,false
11.CLV,11.5 FineDataLink数仓,9,4,0,64;65;66;67,false,false,false
11.CLV,11.6 数据验证结论,8,0,8,,false,false,true
12.CLV-国内,12.1指标清单,0,1,0,68,true,false,false
12.CLV-国内,12.2指标口径/计算规则,11,0,0,,false,false,false
12.CLV-国内,12.3数据溯源,4,1,0,69,false,true,false
12.CLV-国内,12.4来源环境对比数据,0,0,1,,false,false,false
12.CLV-国内,12.5 FineDataLink数仓,8,3,0,70;71;72,false,false,false
12.CLV-国内,12.6 数据验证结论,2,0,2,,false,false,true
13.CLV-国际,13.1指标清单,0,1,0,73,true,false,false
13.CLV-国际,13.2指标口径/计算规则,21,0,0,,false,false,false
13.CLV-国际,13.3数据溯源,3,1,0,74,false,true,false
13.CLV-国际,13.4来源环境对比数据,0,0,1,,false,false,false
13.CLV-国际,13.5 FineDataLink数仓,8,3,0,75;76;77,false,false,false
13.CLV-国际,13.6 数据验证结论,0,0,2,,false,false,true
14.DAU,14.1指标清单,0,1,0,78,true,false,false
14.DAU,14.2指标口径/计算规则,4,0,0,,false,false,false
14.DAU,14.3数据溯源,4,1,0,79,false,true,false
14.DAU,14.4来源环境对比数据,0,0,2,,false,false,false
14.DAU,14.5 FineDataLink数仓,8,3,0,80;81;82,false,false,false
14.DAU,14.6 数据验证结论,3,0,3,,false,false,true
15.业务总览-国际化,15.1指标清单,0,1,0,83,true,false,false
15.业务总览-国际化,15.2指标口径/计算规则,23,1,0,84,false,false,false
15.业务总览-国际化,15.3 FineDataLink数仓,2,1,0,85,false,false,false
16.业务总览-会员,,2,1,1,86,false,false,false
17.业务总览-TOB,17.1指标清单,0,1,0,87,true,false,false
17.业务总览-TOB,17.2指标口径/计算规则,3,1,0,88,false,false,false
17.业务总览-TOB,17.3数据溯源,4,1,0,89,false,true,false
17.业务总览-TOB,17.4来源环境对比数据,1,0,0,,false,false,false
17.业务总览-TOB,17.5 FineDataLink数仓,10,4,0,90;91;92;93,false,false,false
17.业务总览-TOB,17.6 数据验证结论,0,0,7,,false,false,true
18.业务总览-广告,,1,0,1,,false,false,false
